2022-12-30T00:04:35+01:00, spo: 92, bpm: 63
2022-12-30T00:04:36+01:00, spo: 92, bpm: 63
2022-12-30T00:04:37+01:00, spo: 92, bpm: 63
2022-12-30T00:04:38+01:00, spo: 91, bpm: 63
2022-12-30T00:04:39+01:00, spo: 91, bpm: 62
2022-12-30T00:04:40+01:00, spo: 91, bpm: 62
2022-12-30T00:04:41+01:00, spo: 91, bpm: 62
2022-12-30T00:04:42+01:00, spo: 92, bpm: 61
2022-12-30T00:04:43+01:00, spo: 92, bpm: 61
2022-12-30T00:04:44+01:00, spo: 92, bpm: 61
2022-12-30T00:04:45+01:00, spo: 92, bpm: 61
2022-12-30T00:04:46+01:00, spo: 93, bpm: 61
2022-12-30T00:04:47+01:00, spo: 93, bpm: 61
2022-12-30T00:04:48+01:00, spo: 94, bpm: 61
2022-12-30T00:04:49+01:00, spo: 94, bpm: 62
2022-12-30T00:04:50+01:00, spo: 95, bpm: 62
2022-12-30T00:04:51+01:00, spo: 95, bpm: 63
2022-12-30T00:04:52+01:00, spo: 95, bpm: 63
2022-12-30T00:04:53+01:00, spo: 95, bpm: 64
2022-12-30T00:04:54+01:00, spo: 96, bpm: 64
2022-12-30T00:04:55+01:00, spo: 96, bpm: 64
2022-12-30T00:04:56+01:00, spo: 95, bpm: 64
2022-12-30T00:04:57+01:00, spo: 95, bpm: 64
2022-12-30T00:04:58+01:00, spo: 95, bpm: 64
2022-12-30T00:04:59+01:00, spo: 95, bpm: 64
2022-12-30T00:05:00+01:00, spo: 95, bpm: 64
2022-12-30T00:05:01+01:00, spo: 95, bpm: 64
2022-12-30T00:05:02+01:00, spo: 95, bpm: 63
2022-12-30T00:05:03+01:00, spo: 94, bpm: 63
2022-12-30T00:05:04+01:00, spo: 94, bpm: 63
2022-12-30T00:05:05+01:00, spo: 94, bpm: 63
2022-12-30T00:05:06+01:00, spo: 94, bpm: 63
2022-12-30T00:05:07+01:00, spo: 94, bpm: 64
2022-12-30T00:05:08+01:00, spo: 94, bpm: 64
2022-12-30T00:05:09+01:00, spo: 94, bpm: 64
2022-12-30T00:05:10+01:00, spo: 94, bpm: 65
2022-12-30T00:05:11+01:00, spo: 94, bpm: 65
2022-12-30T00:05:12+01:00, spo: 93, bpm: 65
2022-12-30T00:05:13+01:00, spo: 93, bpm: 65
2022-12-30T00:05:14+01:00, spo: 93, bpm: 65
2022-12-30T00:05:15+01:00, spo: 93, bpm: 65
2022-12-30T00:05:16+01:00, spo: 93, bpm: 65
2022-12-30T00:05:17+01:00, spo: 93, bpm: 66
2022-12-30T00:05:18+01:00, spo: 93, bpm: 66
2022-12-30T00:05:19+01:00, spo: 93, bpm: 67
2022-12-30T00:05:20+01:00, spo: 93, bpm: 67
2022-12-30T00:05:21+01:00, spo: 93, bpm: 68
2022-12-30T00:05:22+01:00, spo: 93, bpm: 69
2022-12-30T00:05:23+01:00, spo: 93, bpm: 70
2022-12-30T00:05:24+01:00, spo: 93, bpm: 70
2022-12-30T00:05:25+01:00, spo: 93, bpm: 70
2022-12-30T00:05:26+01:00, spo: 93, bpm: 70
2022-12-30T00:05:27+01:00, spo: 93, bpm: 70
2022-12-30T00:05:28+01:00, spo: 93, bpm: 70
2022-12-30T00:05:29+01:00, spo: 93, bpm: 70
2022-12-30T00:05:30+01:00, spo: 93, bpm: 70
2022-12-30T00:05:31+01:00, spo: 93, bpm: 70
2022-12-30T00:05:32+01:00, spo: 93, bpm: 70
2022-12-30T00:05:33+01:00, spo: 93, bpm: 70
2022-12-30T00:05:34+01:00, spo: 94, bpm: 69
2022-12-30T00:05:35+01:00, spo: 94, bpm: 68
2022-12-30T00:05:36+01:00, spo: 94, bpm: 67
2022-12-30T00:05:37+01:00, spo: 94, bpm: 66
2022-12-30T00:05:38+01:00, spo: 94, bpm: 65
2022-12-30T00:05:39+01:00, spo: 94, bpm: 64
2022-12-30T00:05:40+01:00, spo: 94, bpm: 64
2022-12-30T00:05:41+01:00, spo: 94, bpm: 63
2022-12-30T00:05:42+01:00, spo: 94, bpm: 63
2022-12-30T00:05:43+01:00, spo: 94, bpm: 63
2022-12-30T00:05:44+01:00, spo: 94, bpm: 63
2022-12-30T00:05:45+01:00, spo: 94, bpm: 63
2022-12-30T00:05:46+01:00, spo: 94, bpm: 64
2022-12-30T00:05:47+01:00, spo: 94, bpm: 65
2022-12-30T00:05:48+01:00, spo: 94, bpm: 65
2022-12-30T00:05:49+01:00, spo: 94, bpm: 66
2022-12-30T00:05:50+01:00, spo: 94, bpm: 67
2022-12-30T00:05:51+01:00, spo: 94, bpm: 67
2022-12-30T00:05:52+01:00, spo: 94, bpm: 67
2022-12-30T00:05:53+01:00, spo: 94, bpm: 67
2022-12-30T00:05:54+01:00, spo: 94, bpm: 66
2022-12-30T00:05:55+01:00, spo: 94, bpm: 65
2022-12-30T00:05:56+01:00, spo: 94, bpm: 65
2022-12-30T00:05:57+01:00, spo: 94, bpm: 64
2022-12-30T00:05:58+01:00, spo: 94, bpm: 64
2022-12-30T00:05:59+01:00, spo: 94, bpm: 64
2022-12-30T00:06:00+01:00, spo: 94, bpm: 64
2022-12-30T00:06:01+01:00, spo: 94, bpm: 65
2022-12-30T00:06:02+01:00, spo: 94, bpm: 66
